site,lat,lng,is_datacenter,note,nearest_transmission_line_voltage_kv,nearest_transmission_line_voltage_kv__status,max_transmission_line_voltage_kv_within_radius,max_transmission_line_voltage_kv_within_radius__status,nearest_transmission_line_voltage_class,nearest_transmission_line_voltage_class__status,nearest_substation_distance_m,nearest_substation_distance_m__status,nearest_osm_substation_distance_m,nearest_osm_substation_distance_m__status,nearest_osm_substation_max_voltage_kv,nearest_osm_substation_max_voltage_kv__status,nearest_urban_area_rtt_floor_ms,nearest_urban_area_rtt_floor_ms__status,nearest_urban_area_distance_m,nearest_urban_area_distance_m__status,egrid_co2_output_rate_kg_per_mwh,egrid_co2_output_rate_kg_per_mwh__status,tax_incentive_stack,tax_incentive_stack__status,in_opportunity_zone,in_opportunity_zone__status,fiber_broadband_available,fiber_broadband_available__status,fiber_provider_count,fiber_provider_count__status,nearest_long_haul_rail_corridor_distance_m,nearest_long_haul_rail_corridor_distance_m__status,slope_degrees,slope_degrees__status,design_wet_bulb_temperature_0_4pct_degc,design_wet_bulb_temperature_0_4pct_degc__status,days_above_32c_annual_count,days_above_32c_annual_count__status,within_water_service_area,within_water_service_area__status,surface_water_supply_use_index_huc12,surface_water_supply_use_index_huc12__status,avg_retail_electricity_price_industrial_usd_per_kwh,avg_retail_electricity_price_industrial_usd_per_kwh__status,nearest_major_road_distance_m,nearest_major_road_distance_m__status,intersects_protected_area,intersects_protected_area__status,protected_area_gap_status,protected_area_gap_status__status,protected_area_name,protected_area_name__status,within_floodplain_polygon,within_floodplain_polygon__status,intersects_wetland,intersects_wetland__status,in_air_quality_nonattainment,in_air_quality_nonattainment__status,near_epa_repowering_site,near_epa_repowering_site__status,nearest_repowering_site_distance_m,nearest_repowering_site_distance_m__status,nearest_brownfield_distance_m,nearest_brownfield_distance_m__status,nearest_power_plant_distance_m,nearest_power_plant_distance_m__status,nearest_power_plant_primary_fuel,nearest_power_plant_primary_fuel__status,nearest_power_plant_capacity_mw,nearest_power_plant_capacity_mw__status,housing_units_density_per_km2,housing_units_density_per_km2__status,land_use_class,land_use_class__status,tree_canopy_pct,tree_canopy_pct__status,prime_farmland_classification,prime_farmland_classification__status,intersects_critical_habitat,intersects_critical_habitat__status,btm_gas_candidacy_flag,btm_gas_candidacy_flag__status,nearest_gas_pipeline_distance_m,nearest_gas_pipeline_distance_m__status,modeled_onsite_gas_generation_cost_usd_per_mwh,modeled_onsite_gas_generation_cost_usd_per_mwh__status,wildfire_annual_frequency,wildfire_annual_frequency__status,nearest_class_i_area_distance_m,nearest_class_i_area_distance_m__status,nearest_class_i_area_name,nearest_class_i_area_name__status,in_air_quality_maintenance,in_air_quality_maintenance__status,landslide_susceptibility_index,landslide_susceptibility_index__status,seismic_design_category,seismic_design_category__status,in_karst_area,in_karst_area__status,karst_exposure_class,karst_exposure_class__status,interconnection_queue_active_capacity_county_mw,interconnection_queue_active_capacity_county_mw__status,cmp_power,cmp_interconnect,cmp_terrain,cmp_cooling,cmp_water,cmp_cost,cmp_access,cmp_legacy,cmp_isolation,cmp_low_disturbance,cmp_btm_fuel,cmp_latency,cmp_carbon,cmp_incentives,cmp_clear,cmp_fire_siting,score_data_center_optionality,score_bess_optionality,score_buildability,score_energy_park_optionality
Ashburn VA - Data Center Alley,39.0438,-77.4874,1,Loudoun County; densest DC cluster in the US,230.0,ok,230.0,ok,220-287,ok,1269.8,ok,1204.6,ok,230.0,ok,0.0,ok,0.0,ok,269.17,ok,,ok,False,ok,True,ok,3,ok,20307.39356281072,ok,1.0340876579284668,ok,25.0,ok,28,ok,True,ok,0.16550669226241982,ok,0.0986,ok,2.437836579358835,ok,False,ok,,absent,,absent,False,ok,False,ok,True,ok,False,ok,5641.704646580956,ok,,absent,5231.3,ok,natural gas,ok,766.0,ok,607.9511336615983,ok,Developed,ok,16.0,ok,prime,ok,False,ok,True,ok,2401.8,ok,52.95,ok,1.4379204153773569e-05,ok,61498.26258474023,ok,Shenandoah NP,ok,True,ok,14,ok,A,ok,False,ok,,absent,715.0,ok,1.0,0.7863,1.0,0.46,0.9,0.7,1.0,0.9341,0.148,0.85,1.0,1.0,0.75,0.55,0.8,1.0,0.6553,0.7119,0.7875,0.4752
The Dalles OR,45.5946,-121.1787,1,Columbia River; hydro power + cool climate,115.0,ok,500.0,ok,100-161,ok,676.2,ok,652.1,ok,,absent,0.0,ok,0.0,ok,286.55,ok,brownfield_repowering_screened,ok,False,ok,True,ok,1,ok,552.6338400250515,ok,4.123366832733154,ok,21.5,ok,33,ok,True,ok,0.1400458060175017,ok,0.0807,ok,182.83884715594246,ok,True,ok,3,ok,The Dalles Urban Area (Crgnsa) Special Designated Area,ok,,absent,False,ok,False,ok,True,ok,444.5737485485827,ok,479.0,ok,3933.5,ok,hydroelectric,ok,5.0,ok,296.9823366275486,ok,Developed,ok,21.0,ok,statewide_importance,ok,False,ok,True,ok,3329.4,ok,58.63,ok,0.00026799017765937144,ok,38152.95323239465,ok,Mount Hood Wilderness,ok,False,ok,0,ok,D,ok,False,ok,,absent,9037.0,ok,1.0,0.8,1.0,0.69,0.9,0.7,1.0,1.0,0.148,0.85,0.9927,1.0,0.75,0.73,0.65,1.0,0.49,0.4569,0.5851,0.38
Prineville OR,44.3001,-120.8451,1,High desert; free cooling,69.0,ok,69.0,ok,UNDER 100,ok,1073.5,ok,1028.5,ok,115.0,ok,0.0,ok,0.0,ok,286.55,ok,"opportunity_zone,brownfield_repowering_screened",ok,True,ok,True,ok,3,ok,862.0459987370011,ok,0.6580175161361694,ok,18.8,ok,29,ok,True,ok,0.13339586139096743,ok,0.0807,ok,313.29637667832833,ok,True,ok,3,ok,Davidson Field,ok,False,ok,False,ok,False,ok,True,ok,198.513170031897,ok,182.7,ok,14123.7,ok,solar,ok,56.0,ok,374.51534407974157,ok,Developed,ok,5.0,ok,statewide_importance,ok,False,ok,,absent,,absent,58.63,ok,7.999999979802001e-06,ok,64292.70724221571,ok,Three Sisters Wilderness,ok,False,ok,0,ok,D,ok,False,ok,,absent,16286.41,ok,0.45,0.94,1.0,0.8464,0.9,0.7,1.0,1.0,0.148,1.0,0.45,1.0,0.75,0.91,0.65,1.0,0.3691,0.256,0.5851,0.3065
Umatilla OR,45.9174,-119.342,1,Columbia basin,115.0,ok,500.0,ok,100-161,ok,1379.6,ok,1604.6,ok,,absent,0.0,ok,0.0,ok,286.55,ok,brownfield_repowering_screened,ok,False,ok,True,ok,2,ok,2440.3598508661453,ok,2.435354232788086,ok,20.4,ok,44,ok,True,ok,0.13594123535206631,ok,0.0807,ok,30.08289444063678,ok,False,ok,,absent,,absent,False,ok,False,ok,False,ok,True,ok,23.273546908521368,ok,,absent,89.4,ok,solar,ok,6.0,ok,148.45889646768015,ok,Developed,ok,1.0,ok,statewide_importance,ok,False,ok,True,ok,2782.9,ok,58.63,ok,0.002612557952461012,ok,134369.82373080504,ok,Eagle Cap Wilderness,ok,False,ok,33,ok,D,ok,False,ok,,absent,4756.1,ok,1.0,0.8666,1.0,0.6,0.9,0.7,1.0,0.95,0.333,1.0,1.0,1.0,0.75,0.73,1.0,0.9,0.7907,0.7679,0.8598,0.645
Quincy WA,47.2343,-119.8526,1,Columbia basin; hydro,115.0,ok,230.0,ok,100-161,ok,1234.6,ok,1162.0,ok,230.0,ok,0.0,ok,0.0,ok,286.55,ok,,ok,False,ok,True,ok,3,ok,389.01025122858056,ok,0.7772003412246704,ok,19.6,ok,32,ok,True,ok,0.6897112654251321,ok,0.0701,ok,91.15783638761876,ok,False,ok,,absent,,absent,False,ok,False,ok,False,ok,False,ok,21459.523465794147,ok,,absent,8945.6,ok,hydroelectric,ok,6.6,ok,254.88689302304059,ok,Developed,ok,0.0,ok,prime_if_conditions_met,ok,False,ok,,absent,,absent,128.07,ok,0.000743772888093419,ok,67158.49730036056,ok,Alpine Lakes Wilderness,ok,False,ok,0,ok,D,ok,False,ok,,absent,5840.0,ok,1.0,0.94,1.0,0.69,0.7,0.9,1.0,0.35,0.148,1.0,0.3375,1.0,0.75,0.55,1.0,1.0,0.7633,0.7299,0.8669,0.4378
Council Bluffs IA,41.2619,-95.8608,1,Wind corridor,161.0,ok,161.0,ok,100-161,ok,1073.3,ok,1026.2,ok,161.0,ok,0.0,ok,0.0,ok,417.364,ok,brownfield_repowering_screened,ok,False,ok,True,ok,5,ok,2.73673513251614,ok,0.6982883810997009,ok,25.2,ok,28,ok,True,ok,0.21233822589651447,ok,0.0626,ok,4.32534855929029,ok,False,ok,,absent,,absent,False,ok,False,ok,False,ok,True,ok,66.78146081281857,ok,85.5,ok,5313.6,ok,petroleum,ok,123.5,ok,615.5683237383022,ok,Developed,ok,1.0,ok,not_prime,ok,False,ok,True,ok,4718.4,ok,61.29,ok,0.0,ok,,absent,,absent,False,ok,13,ok,B,ok,True,ok,buried_under_thick_glacial_cover,ok,200.0,ok,0.8,1.0,1.0,0.2576,0.9,0.9,1.0,1.0,0.148,1.0,0.9618,1.0,0.55,0.73,1.0,1.0,0.739,0.8143,0.8706,0.6974
Altoona IA,41.6444,-93.4647,1,Wind corridor,,absent,,absent,,absent,2853.8,ok,2211.8,ok,161.0,ok,0.0,ok,0.0,ok,417.364,ok,,ok,False,ok,True,ok,4,ok,647.2973223887697,ok,0.5993317365646362,ok,26.1,ok,17,ok,True,ok,0.20993918034807765,ok,0.0626,ok,8.171751560498127,ok,False,ok,,absent,,absent,False,ok,False,ok,False,ok,False,ok,1683.470745516619,ok,,absent,10226.6,ok,natural gas,ok,7.9,ok,444.4899889540197,ok,Developed,ok,5.0,ok,not_prime,ok,False,ok,True,ok,19.9,ok,61.29,ok,0.0001222624103064242,ok,,absent,,absent,False,ok,0,ok,B,ok,False,ok,,absent,340.0,ok,0.4,1.0,1.0,0.2576,0.9,0.9,1.0,0.95,0.148,1.0,1.0,1.0,0.55,0.55,1.0,1.0,0.5997,0.568,0.9843,0.5881
New Albany OH,40.0812,-82.8088,1,Columbus metro cluster,,absent,,absent,,absent,106.8,ok,3859.5,ok,138.0,ok,0.0,ok,5.852670705738126,ok,413.415,ok,,ok,False,ok,True,ok,3,ok,9182.4610790404,ok,2.6574928760528564,ok,24.5,ok,12,ok,True,ok,0.1407984565962218,ok,0.0995,ok,5.852332841254845,ok,False,ok,,absent,,absent,False,ok,False,ok,False,ok,False,ok,4743.224023724034,ok,453.0,ok,22645.2,ok,petroleum,ok,1.8,ok,149.43804254420223,ok,Developed,ok,16.0,ok,not_prime,ok,False,ok,True,ok,1530.4,ok,102.88,ok,6.0100409194854335e-05,ok,293437.8863140228,ok,Otter Creek Wilderness,ok,True,ok,20,ok,B,ok,False,ok,,absent,250.0,ok,0.3735,0.8797,1.0,0.46,0.9,0.7,1.0,1.0,0.333,0.85,0.9,1.0,0.55,0.55,1.0,1.0,0.6057,0.525,0.9843,0.6014
Cheyenne WY,41.14,-104.8202,1,Wind + cool climate,,absent,,absent,,absent,2647.9,ok,2963.2,ok,,absent,0.0,ok,0.0,ok,470.194,ok,brownfield_repowering_screened,ok,False,ok,True,ok,6,ok,687.6395177731131,ok,0.8062397241592407,ok,17.1,ok,18,ok,True,ok,0.19438742800655315,ok,0.0875,ok,93.66521798609915,ok,True,ok,3,ok,State Lands 1111111389,ok,False,ok,False,ok,False,ok,True,ok,527.2948146196907,ok,489.7,ok,8608.1,ok,natural gas,ok,131.0,ok,411.0841866214644,ok,Developed,ok,11.0,ok,not_prime,ok,False,ok,,absent,,absent,38.75,ok,0.0,ok,90615.89789472207,ok,Rocky Mountain NP,ok,False,ok,0,ok,A,ok,False,ok,,absent,4387.0,ok,0.4,1.0,1.0,0.8464,0.9,0.7,1.0,1.0,0.148,0.85,0.45,1.0,0.55,0.73,0.65,1.0,0.4032,0.3063,0.6398,0.3121
San Antonio TX,29.4241,-98.4936,1,ERCOT,138.0,ok,138.0,ok,100-161,ok,1244.4,ok,1207.0,ok,138.0,ok,0.0,ok,0.0,ok,332.874,ok,"opportunity_zone,brownfield_repowering_screened",ok,True,ok,True,ok,6,ok,1247.6978336755367,ok,0.6435965299606323,ok,25.2,ok,121,ok,True,ok,0.2933328366472921,ok,0.0633,ok,8.001775835169026,ok,True,ok,2,ok,Papahanaumokuakea Marine National Monument,ok,False,ok,False,ok,True,ok,True,ok,117.79568532565104,ok,118.8,ok,11274.8,ok,natural gas,ok,184.0,ok,898.3857652059668,ok,Developed,ok,2.0,ok,prime,ok,False,ok,,absent,,absent,28.58,ok,0.0,ok,,absent,,absent,False,ok,28,ok,A,ok,False,ok,,absent,4883.23,ok,0.8,1.0,1.0,0.182,0.9,0.9,1.0,1.0,0.148,1.0,0.45,1.0,0.75,0.91,0.16,1.0,0.1084,0.1162,0.1504,0.0921
